Datetime,Tweet Id,Text,Username,textclean,Polarity,Sentiment
15/12/2019,1.21E+18,Ptcl ka net isliye khrab koi machli taar kha gayi heu,__SMAS__,Ptcl ka net is liye khrab koi machli taar kha gayi heu,0,Neutral
27/12/2019,1.21E+18,"  Dear PTCL, I dont want to break the contract but your poor service forces me to do so. Please check my history of complaints. Every month at least 15 days Wifi is down. BR",5281311,"  Dear PTCL, I dont want to break the contract but your poor service forces me to do so. Please check my history of complaints. Every month at least 15 days Wifi is down. ",-0.4201,Unsatisfied
04/01/2020,1.21E+18,"3. And finally our finance minister sorry SAPM of Finance whose sole achievement before this stint was bungled privatization of PTCL.3A. despite the fact UAE owes us $800M for it, lying down in front of them for the $200M they are sending our way ",2paisay,"3. And finally our finance minister sorry SAPM of Finance whose sole achievement before this stint was bungled privatization of PTCL.3A. despite the fact UAE owes us $800M for it, lying down in front of them for the $200M they are sending our way ",-0.5719,Negative
08/01/2020,1.21E+18,__raima Ptcl alwaya sucks,Aadymemon,__raima Ptcl alwaya sucks,-0.3612,Negative
16/01/2020,1.22E+18, jazz 4g ka speed test at Samnabad multan road lahore. First time in my life I've seen uploading speed &gt; downloading speed. Itni to ptcl bhi nahi deta.5g ki trf Jana acha hai Lakin Please pehly 4g py downloading speed thk kr Lyn.#Jazz4g #JazzSuper4G #duniyakobatado ,_Ayyaz_Sheikh, jazz 4g ka speed test at Samnabad multan road lahore. First time in my life I've seen uploading speed &gt; downloading speed. Itni to ptcl bhi nahi deta.5g ki trf Jana acha hai Lakin Please pehly 4g py downloading speed thk kr Lyn.#Jazz4g #JazzSuper4G #duniyakobatado ,0.3182,Positive
23/01/2020,1.22E+18, Ok then Ptcl sucks.. Nvm ,_NotYourCoffee, Ok then Ptcl sucks.. Nvm ,-0.0772,Negative
28/01/2020,1.22E+18,_ Gobar kay bachay PTCL walay (I have Nayatel I am just trying to promote this gali),aaloo_logic,_ Gobar kay bachay PTCL walay (I have Nayatel I am just trying to promote this gali),0.3818,Positive
02/02/2020,1.22E+18,Ptcl truly sucks...Kabhi sahi sy net nai ata annoyingg,__SOPELOVER,Ptcl truly sucks...Kabhi sahi sy net nai ata annoyingg,-0.4404,Unsatisfied
05/02/2020,1.23E+18,"Bus ab Abdul Hafeez Shaikh PTCL ki shaandaar privatization ke baad, bachay khuchay assets ki privatization say hi ""investors ka government ki economy policy mein confidence"" show karaye ga.",2paisay,"Bus ab Abdul Hafeez Shaikh PTCL ki shaandaar privatization ke baad, bachay khuchay assets ki privatization say hi ""investors ka government ki economy policy mein confidence"" show karaye ga.",0.6124,Positive
08/02/2020,1.23E+18,"Log Barish mein Pakoray  Khaaty hain.Aur Ptcl wle Galiyan.Jani idhr 8Mbs Connection Hai, download speed 0.22mbsUpload speed 0.12 mbsPings 380ms ",__EVENFALL__,"Log Barish mein Pakoray  Khaaty hain.Aur Ptcl wle Galiyan.Jani idhr 8Mbs Connection Hai, download speed 0.22mbsUpload speed 0.12 mbsPings 380ms ",0,Neutral
13/02/2020,1.23E+18,_LeonGids Its way faster than mine too mine is 7 mbps download and 700 kbps of upload in Pakistan btw the internet is PTCL make sure to give hate to them :),_talha15,_LeonGids Its way faster than mine too mine is 7 mbps download and 700 kbps of upload in Pakistan btw the internet is PTCL make sure to give hate to them :),0.1531,Positive
13/02/2020,1.23E+18," Hello PTCL jani...! yar kya masla hei internet ko 2,2 minutes bad ata hei aur chala jata hei.",50___Tola," Hello PTCL jani...! yar kya masla hei internet ko 2,2 minutes bad ata hei aur chala jata hei.",-0.5848,Negative
20/02/2020,1.23E+18,_badar83 __Ali Wesy PTCL ki tagline Fuck the Future honi chahiye thiKhayr mazri unki ,_Jiya_Saif,_badar83 __Ali Wesy PTCL ki tagline Fuck the Future honi chahiye thiKhayr mazri unki ,-0.5423,Negative
22/02/2020,1.23E+18,"_Here    Kia kraien hmara ptcl bh Kamran akmal ki trah hai,, domestic mn achaw chalta hai, international mn zero ho jata hai.. ",1usmanhaider,"_Here    Kia kraien hmara ptcl bh Kamran akmal ki trah hai,, domestic mn achaw chalta hai, international mn zero ho jata hai.. ",-0.6369,Negative
22/02/2020,1.23E+18,_e_adam _federer I am talking about 4g devices. Line wala ptcl farigh he hai. Nayatel sabsay acha ha isb me,9Younas,_e_adam _federer I am talking about 4g devices. Line wala ptcl farigh he hai. Nayatel sabsay acha ha isb me,0.34,Positive
22/02/2020,1.23E+18,_federer We use jazz and ptcl chargee in office. Ptcl chargee is very good.Nayatel at home but i don't think it's available in khi,9Younas,_federer We use jazz and ptcl chargee in office. Ptcl chargee is very good.Nayatel at home but i don't think it's available in khi,0,Neutral
28/02/2020,1.23E+18,"I messaged a PTCL customer service agent through live-chat and asked him why the internet was down, and my man literally said that he's been using Telenor 4G the entire morning because PTCL's servers were down. ",_HuzaifaKhan,"I messaged a PTCL customer service agent through live-chat and asked him why the internet was down, and my man literally said that he's been using Telenor 4G the entire morning because PTCL's servers were down. ",0,Neutral
08/03/2020,1.24E+18, PTCL jani wtf?,_tera_banda, PTCL jani wtf?,-0.5859,Negative
08/03/2020,1.24E+18,"__A000A__ Ptcl CharJi Evo cloud., can carry it anywhere and it's support upto 10 gadgets at a time when you make it hotspot. If can afford (Price 2500+Monthly package cost) then buy and use it. Sim networks are not good as like CharJi Evo cloud.",aabbaasi,"__A000A__ Ptcl CharJi Evo cloud., can carry it anywhere and it's support upto 10 gadgets at a time when you make it hotspot. If can afford (Price 2500+Monthly package cost) then buy and use it. Sim networks are not good as like CharJi Evo cloud.",-0.2062,Negative
12/03/2020,1.24E+18,I mean this in the nicest way possible but fuck you ptcl.,_02amal,I mean this in the nicest way possible but fuck you ptcl.,-0.5647,Negative
20/03/2020,1.24E+18,Don't electric water and telephone fall under the essential services? Can understand shutting down govt offices but why PTCL offices closed.,29shiraz,Don't electric water and telephone fall under the essential services? Can understand shutting down govt offices but why PTCL offices closed.,0,Neutral
21/03/2020,1.24E+18,Has anyone of you used PTCL charji internet device ? Is it good ?,_KashifK,Has anyone of you used PTCL charji internet device ? Is it good ?,0.504,Positive
26/03/2020,1.24E+18,Seems like corona test of PTCL has come positive. Service got worse than before.,_heretorant,Seems like corona test of PTCL has come positive. Service got worse than before.,0.4588,Positive
28/03/2020,1.24E+18, Ptcl ko goodbye bol do. You'll thank me later ,_Shurikenjutsu_, Ptcl ko goodbye bol do. You'll thank me later ,0.3612,Positive
02/04/2020,1.25E+18, Ptcl he ha mery pass aik season start karta hu next laga daita hun Idk when was last time i shutdown my laptop,97abdulmuiz, Ptcl he ha mery pass aik season start karta hu next laga daita hun Idk when was last time i shutdown my laptop,0.25,Positive
05/04/2020,1.25E+18,Bachpan ma itna dial kiya ye number k ptcl ka bill ma is k ilawa koi number hi ni hota tha aur acha khasa bill a jata tha ,_aliabbass,Bachpan ma itna dial kiya ye number k ptcl ka bill ma is k ilawa koi number hi ni hota tha aur acha khasa bill a jata tha ,0.1531,Positive
05/04/2020,1.25E+18,PTCL join hands with Gulberg Greens for provision of ICT services #News #DigitalMarketing #Tech #Pakistan #Karachi #Lahore #Islamabad #SEO #ContentCreators #SocialMediaMarketer #AamirJavedAwan,AamirJavedAwan,PTCL join hands with Gulberg Greens for provision of ICT services #News #DigitalMarketing #Tech #Pakistan #Karachi #Lahore #Islamabad #SEO #ContentCreators #SocialMediaMarketer #AamirJavedAwan,0.296,Positive
06/04/2020,1.25E+18, acting up from the last twenty four hours now. PTCL internet sucks. Big time. Try to pay heed to your customers.,aaminsann, acting up from the last twenty four hours now. PTCL internet sucks. Big time. Try to pay heed to your customers.,-0.4404,Negative
07/04/2020,1.25E+18,Yeh BC PTCL ko kya ho gya hai. Subha ka True Detective he nahi download ho raha..,_iamthelegend_,Yeh BC PTCL ko kya ho gya hai. Subha ka True Detective he nahi download ho raha..,0.4215,Positive
08/04/2020,1.25E+18,  Ptcl also suck in pakistan I can tell you that its not just ajk.,47unasahmed,  Ptcl also suck in pakistan I can tell you that its not just ajk.,-0.4404,Negative
09/04/2020,1.25E+18," the country's shittiest telecom and ict services provider, everytime i complain about online gaming lag a guy sitting in ur office ,who knows nothing about latency,routing and stuff, tells me that lag is from the game's end .nice bs ptcl ka tou fault ho hi nhn skta game khrb ha",_Farhadali," the country's shittiest telecom and ict services provider, everytime i complain about online gaming lag a guy sitting in ur office ,who knows nothing about latency,routing and stuff, tells me that lag is from the game's end .nice bs ptcl ka tou fault ho hi nhn skta game khrb ha",-0.8481,Negative
13/04/2020,1.25E+18,Kabhi kabhi Ptcl walay bht heran kr dety ha.... 1 mb/s ki speed sa downloading ho rhi ha,_ascendare,Kabhi kabhi Ptcl walay bht heran kr dety ha.... 1 mb/s ki speed sa downloading ho rhi ha,0.34,Positive
14/04/2020,1.25E+18,Ye zara se badal kya baras jayein 2 idaron ki mout waqai ho jati hai#1 PTCL#2 WAPDA,_aliabbass,Ye zara se badal kya baras jayein 2 idaron ki mout waqai ho jati hai#1 PTCL#2 WAPDA,0,Neutral
14/04/2020,1.25E+18,PTCL internet is down?,_iMoiz,PTCL internet is down?,0,Neutral
19/04/2020,1.25E+18," Mera 2 mbps ka bill 2700 aya tha phir utar wadiya, i think _eeh can help you better regarding ptcl, let's hope soo she is good mood ",_OnlyPakistan," Mera 2 mbps ka bill 2700 aya tha phir utar wadiya, i think _eeh can help you better regarding ptcl, let's hope soo she is good mood ",0.886,Positive
20/04/2020,1.25E+18, Your network speed it sucks.. Quarantine mai aik internet ka hi sahara hai wo bhi ap ptcl sai competition mai agai ja rhai hain.Full signal or us kai bawajood chalnai ka name nai laiti jab pakage karna ho to bhagti hai aik bar lag jai pakage phir hum apkai hain kon,_TorPiD_, Your network speed it sucks.. Quarantine mai aik internet ka hi sahara hai wo bhi ap ptcl sai competition mai agai ja rhai hain.Full signal or us kai bawajood chalnai ka name nai laiti jab pakage karna ho to bhagti hai aik bar lag jai pakage phir hum apkai hain kon,-0.5994,Negative
23/04/2020,1.25E+18,which internet do you think is worst? and why it is PTCL?,4YouBerlin,which internet do you think is worst? and why it is PTCL?,-0.6662,Negative
24/04/2020,1.25E+18,"  Ayega 3,4 matches jo jeeta unky screenshot ly ker  jo hara wo count ni hoty coz freezer ni tha + ptcl sucks ",A_for_aadi,"  Ayega 3,4 matches jo jeeta unky screenshot ly ker  jo hara wo count ni hoty coz freezer ni tha + ptcl sucks ",0.2732,Positive
28/04/2020,1.26E+18, Maybe he is a ptcl user jis ka msg hi 20 mint bad send hota ho like me.,_faizanpathan_, Maybe he is a ptcl user jis ka msg hi 20 mint bad send hota ho like me.,-0.25,Negative
28/04/2020,1.26E+18,$AFMD from today PR:1. new data from AFM13 Columbia expected;2. AFM13 registrational in pTCL goes on while temporarily stopped in MF3. AFM24 trial goes on4. AFM13-NK ready to start5. Genentech R&amp;S goes on6. Cash runway into 1H/2022,8thKingofRome,$AFMD from today PR:1. new data from AFM13 Columbia expected;2. AFM13 registrational in pTCL goes on while temporarily stopped in MF3. AFM24 trial goes on4. AFM13-NK ready to start5. Genentech R&amp;S goes on6. Cash runway into 1H/2022,0.1531,Positive
01/05/2020,1.26E+18,   Acha I thought their bad service was only bad in specific city...matlab good consistency PTCL,5halashaska,   Acha I thought their bad service was only bad in specific city...matlab good consistency PTCL,-0.6249,Negative
06/05/2020,1.26E+18,Ptcl phir down ho gya haiAjeeb +_-,____Bellatrix,Ptcl phir down ho gya haiAjeeb ,0,Neutral
06/05/2020,1.26E+18,Everone is using #ptcl and still they hate their services agar bura hai to connection kaat q nahe dete sick people..... ,_pakiistan,Everone is using #ptcl and still they hate their services agar bura hai to connection kaat q nahe dete sick people..... ,-0.7906,Negative
06/05/2020,1.26E+18,Pehly lockdown or ab ptcl down ,_raheemBux,Pehly lockdown or ab ptcl down ,0,Neutral
06/05/2020,1.26E+18,#ptcl down...Ab btao quarantined logo...Kysa guzr rha hai waqt apka ,18Smartygirl,#ptcl down...Ab btao quarantined logo...Kysa guzr rha hai waqt apka ,0,Neutral
12/05/2020,1.26E+18,"  No ptcl, no problem;) Zong zindabad",_Anti_Matter__,"  No ptcl, no problem;) ",0.2373,Positive
12/05/2020,1.26E+18, Sorry my PTCL Smart tv is not working so if it's on so see live otherwise on YouTube,5ulemani, Sorry my PTCL Smart tv is not working so if it's on so see live otherwise on YouTube,0.34,Positive
14/05/2020,1.26E+18,Omg they took it so serious. I'm feeling bad for them I shouldn't have done this sorry PTCL BRO ,20yearoldlady,Omg they took it so serious. I'm feeling bad for them I shouldn't have done this sorry PTCL BRO ,-0.593,Negative
15/05/2020,1.26E+18,_says Phrrr syy down thaa ptcl aj!! ,0_0hash,_says Phrrr syy down thaa ptcl aj!! ,0,Neutral
01/06/2020,1.27E+18,Aj Apki online            Sir ka PTCL class hai                     khrab Ho gya ,__medicolegal,Aj Apki online class hai. Sir ka PTCL khrab Ho gya,0,Neutral
06/06/2020,1.27E+18,"  _Mahmood  N our fastest telecommunication company PTCL, it doesn't matter that you hav a bundle pack of 16 mbs speed.... Your downloading speed couldn't exceeds of 100k-200k(this is also possible in clear weather)",aafi1418,"  _Mahmood  N our fastest telecommunication company PTCL, it doesn't matter that you hav a bundle pack of 16 mbs speed.... Your downloading speed couldn't exceeds of 100k-200k(this is also possible in clear weather)",0.3666,Positive
09/06/2020,1.27E+18,Lecture ke doran hi is PTCL ne khrab hna tha. Connected without internet woww.  ,_heretorant,Lecture ke doran hi is PTCL ne khrab hna tha. Connected without internet woww.  ,0,Neutral
10/06/2020,1.27E+18,_ha Commercial users specially Intercity connectivity via PTCL is best in Pakistan. MPLS (new service by PTCL) is so good multiprotocol label switching,_owaishyder,_ha Commercial users specially Intercity connectivity via PTCL is best in Pakistan. MPLS (new service by PTCL) is so good multiprotocol label switching,0.8377,Positive
12/06/2020,1.27E+18,__pal Ni g ptcl ko kb se dafa kr dya h is time thora problem krta h kbi kbi ... Dimag khrab wali baat smjao?,_Doctor_KF,__pal Ni g ptcl ko kb se dafa kr dya h is time thora problem krta h kbi kbi ... Dimag khrab wali baat smjao?,-0.4019,Negative
12/06/2020,1.27E+18,When Ptcl downloading Speed increase Suddenly Me: ,225usman,When Ptcl downloading Speed increase Suddenly Me: ,0.3182,Positive
16/06/2020,1.27E+18,is twitter down or is my internet ptcl?,_maslakyahai,is twitter down or is my internet ptcl?,0,Neutral
21/06/2020,1.27E+18," pls bring your services to gulshan e maymar khi, you are badly needed here ptcl is unable to coupe with the requirements cable net is out of option",_AdeelKhan," pls bring your services to gulshan e maymar khi, you are badly needed here ptcl is unable to coupe with the requirements cable net is out of option",-0.4215,Negative
22/06/2020,1.28E+18,PTCL jani wtf? ,_ApkiBehn,PTCL jani wtf? ,-0.5859,Negative
22/06/2020,1.28E+18,_Sd  Have u ever been to Baluchistan? Internet facility is available through PTCL. Just a propaganda video.Very shameful,_Cheemaa_,_Sd  Have u ever been to Baluchistan? Internet facility is available through PTCL. Just a propaganda video.Very shameful,-0.6369,Negative
10/07/2020,1.28E+18,"   dis issue is everywhere, for online classes, the speed of Internet is too slow to make a live conversation. I have PTCL Evo charji, but he speed is shit, then I got Zong bolt+ but same result. Zong is even worst, it's issue is that it disconnects every few minutes.",1Purewal,"   dis issue is everywhere, for online classes, the speed of Internet is too slow to make a live conversation. I have PTCL Evo charji, but he speed is shit, then I got Zong bolt+ but same result. Zong is even worst, it's issue is that it disconnects every few minutes.",-0.9109,Negative
13/07/2020,1.28E+18,_i_View _News   PTCL has the worst wiring. It goes all over the open places and wrecks the whole aesthetic of area.,aamanatullah,_i_View _News   PTCL has the worst wiring. It goes all over the open places and wrecks the whole aesthetic of area.,-0.6249,Negative
16/07/2020,1.28E+18,__chatterboxx_ PTCL bhi down ha subha se sahi nhi chl RHA..,_Dactr_HBK,__chatterboxx_ PTCL bhi down ha subha se sahi nhi chl RHA..,0.34,Positive
16/07/2020,1.28E+18,Ye PTCL bhi down hogya ha Ya mujhe lg RHA ha? ,_Dactr_HBK,Ye PTCL bhi down hogya ha Ya mujhe lg RHA ha? ,0.34,Positive
16/07/2020,1.28E+18,20 minutes until my hematology module and my internet has decided to crash  thankyou ptcl for being the worst ,_robpatt,20 minutes until my hematology module and my internet has decided to crash  thankyou ptcl for being the worst ,-0.7783,Negative
20/07/2020,1.29E+18,   Wdym its been 72 hours for me on ptcl no internetIm using mobile data Nothing is worse than ptcl,_bilal03,   Wdym its been 72 hours for me on ptcl no internetIm using mobile data Nothing is worse than ptcl,0.091,Positive
21/07/2020,1.29E+18,Ya zong ny khi ptcl ka jutha to ni kha leya idr badal aty hn network kachooo kuma bna jata ha  kch haya nu hath mar ,2amchilled,Ya zong ny khi ptcl ka jutha to ni kha leya idr badal aty hn network kachooo kuma bna jata ha  kch haya nu hath mar ,0.34,Positive
23/07/2020,1.29E+18, Over the past two weeks I launched multiple complaints for smart tv.  Har dfa complaint resolve hone k 24 Hours bade same problems aa jati hai..I need apology letter from PTCL for mental torture.,4arli3, Over the past two weeks I launched multiple complaints for smart tv.  Har dfa complaint resolve hone k 24 Hours bade same problems aa jati hai..I need apology letter from PTCL for mental torture.,-0.6705,Negative
25/07/2020,1.29E+18,is network se acha ha mein ptcl se internet chalao -_-!,_the_beard_king,is network se acha ha mein ptcl se internet chalao -_-!,0.4003,Positive
27/07/2020,1.29E+18, Sir trying to tune PTCL Smart tv but not working   maybe can watch live otherwise on YouTubeMy regards to everyone here,5ulemani, Sir trying to tune PTCL Smart tv but not working   maybe can watch live otherwise on YouTubeMy regards to everyone here,0.2144,Positive
28/07/2020,1.29E+18,"  Having a hard time to keep myself entertained on #PTCL #VDSL. I was getting low-line parameters at first, INSTEAD of RESOLVING issue, Lineman/DSL Tech said to downgrade the package! #INCOMPETENTAnd now DSL has STOPPED WORKING (RED Light). Exchange just want to close complaints",_ShoaibTalat,"  Having a hard time to keep myself entertained on #PTCL #VDSL. I was getting low-line parameters at first, INSTEAD of RESOLVING issue, Lineman/DSL Tech said to downgrade the package! #INCOMPETENTAnd now DSL has STOPPED WORKING (RED Light). Exchange just want to close complaints",0.2244,Positive
28/07/2020,1.29E+18," DP Pair's rusty due to which getting poor SNR Margin/Slow Speeds.Exchange's Solution: Downgrade package (INSTEAD of installing a new DP or getting it repaired. WTF?)'s solution: Downgrade it, as Exchange says not supported.#PTCL#ZTE#HUAWEI#ISP2020",_ShoaibTalat," DP Pair's rusty due to which getting poor SNR Margin/Slow Speeds.Exchange's Solution: Downgrade package (INSTEAD of installing a new DP or getting it repaired. WTF?)'s solution: Downgrade it, as Exchange says not supported.#PTCL#ZTE#HUAWEI#ISP2020",0.128,Positive
01/08/2020,1.29E+18,PTCL and I are not good friends hence threw the greetings into the bin.  ,a4ambitious,PTCL and I are not good friends hence threw the greetings into the bin.  ,-0.2869,Negative
03/08/2020,1.29E+18,Ptcl is the best internet of Pakistan ,103_Starboy,Ptcl is the best internet of Pakistan ,0.6369,Positive
15/08/2020,1.29E+18,I think you are using PTCL internet that's why you posted one day later. I would to my discussion that Modi is a terrorist and butcher of Humanity.#15AugustBlackDay ,1b4cKhan,I think you are using PTCL internet that's why you posted one day later. I would to my discussion that Modi is a terrorist and butcher of Humanity.#15AugustBlackDay ,-0.6908,Negative
18/08/2020,1.30E+18,maybe one of the worst..but not THE worst..PTCL choro storm fiber lagwao ,2ooth_Less,maybe one of the worst..but not THE worst..PTCL choro storm fiber lagwao ,0,Neutral
25/08/2020,1.30E+18,"Mr. Shoaib Ahmed Siddiqui Federal Secretary (MoITT) s removing , from this post ,is a matter of time. Because he is unable to solve the matters of PTCL pensioners inspite of numerous appeals to him .He is working in the interest of PTCL .As being very highly paid by PTCL for it. ",a_azhar1952,"Mr. Shoaib Ahmed Siddiqui Federal Secretary (MoITT) s removing , from this post ,is a matter of time. Because he is unable to solve the matters of PTCL pensioners inspite of numerous appeals to him .He is working in the interest of PTCL .As being very highly paid by PTCL for it. ",0.6124,Positive
27/08/2020,1.30E+18,Kaalay badal aaei gaye aa k PTCL ka net ly jaei gaye #PTCL_broadband,1Hassanmoazzam1,Kaalay badal aaei gaye aa k PTCL ka net ly jaei gaye #PTCL_broadband,0.5574,Positive
28/08/2020,1.30E+18,Sharam ka muqaam hai. PTCL working fine aur Zong ki cellular network internet devices sab bund. Parosi ka internet use kerna par raha hai. ,AamAwam,Sharam ka muqaam hai. PTCL working fine aur Zong ki cellular network internet devices sab bund. Parosi ka internet use kerna par raha hai. ,0.2023,Positive
29/08/2020,1.30E+18,2 din ka Liye PTCL zindabad. ,_UmerMalik_,2 din ka Liye PTCL zindabad. ,0,Neutral
01/09/2020,1.30E+18, Hello PTCL my internet down again WTF...,50___Tola, Hello PTCL my internet down again WTF...,-0.6739,Negative
01/09/2020,1.30E+18,_gov  _Official PTCL Services are not good.,aamir01023164,_gov  _Official PTCL Services are not good.,-0.3412,Negative
03/09/2020,1.30E+18,Can we talk about it or can we talk about it? Having a ptcl internet connection is soul-eating. It gets problematic  every weak. Plus their customer support service is really pathetic. They don't give a damn if you file a complaint or not.,_kawaiikunai,Can we talk about it or can we talk about it? Having a ptcl internet connection is soul-eating. It gets problematic  every weak. Plus their customer support service is really pathetic. They don't give a damn if you file a complaint or not.,-0.7926,Negative
05/09/2020,1.30E+18,Ever since I opted for PTCL broadband it has been working great. There were problems in past but since they laid new lines of fiber optic there is no going back. Keep doing the good work #PTCL,Aaam_Aaadmii,Ever since I opted for PTCL broadband it has been working great. There were problems in past but since they laid new lines of fiber optic there is no going back. Keep doing the good work #PTCL,0.4118,Positive
10/09/2020,1.30E+18, i moved to islamabad so only have to endure PTCL for few days....u only feel the difference when u have something to compare it with,5halashaska, i moved to islamabad so only have to endure PTCL for few days....u only feel the difference when u have something to compare it with,0,Neutral
17/09/2020,1.31E+18,Fazul me hi ptcl ko gallian dedi ye Instagram ko dora para hai Sorry PTCL #Instadown,_arfalicious_,Fazul me hi ptcl ko gallian dedi ye Instagram ko dora para hai Sorry PTCL #Instadown,0,Neutral
23/09/2020,1.31E+18,internet is not working feels like PTCL,7xdzy,internet is not working feels like PTCL,-0.2755,Negative
01/10/2020,1.31E+18,Ptcl k bad mobilink k net connection ko bhi mout parna shuru ho gye.. bc jitni mehnat ads py krty ho utni apny network py kr lo,a_nothing_boy,Ptcl k bad mobilink k net connection ko bhi mout parna shuru ho gye.. bc jitni mehnat ads py krty ho utni apny network py kr lo,-0.5423,Negative
08/10/2020,1.31E+18," Street Lights in H-9 are not working at all.  PTV, PTCL, ICAMP and many other offices and Educational institutions  are there but no street lights working. Please fix them.  Specifically the road which have christian grave yard.",9Waseem," Street Lights in H-9 are not working at all.  PTV, PTCL, ICAMP and many other offices and Educational institutions  are there but no street lights working. Please fix them.  Specifically the road which have christian grave yard.",-0.5023,Negative
09/10/2020,1.31E+18,"   The only bad thing about  when you do a new connection request. Otherwise, its a fairly good experience considering PTCLs worldclass internet speed and customer service.",_idave,"   The only bad thing about  when you do a new connection request. Otherwise, its a fairly good experience considering PTCLs worldclass internet speed and customer service.",-0.1531,Negative
10/10/2020,1.31E+18,#ptcl Internert seevice is very bad.If u complaint no one come to fix.U had to use contacts to approch time.If they came to fix use hours to fix it.Next day same situation.,56rasin,#ptcl Internert seevice is very bad.If u complaint no one come to fix.U had to use contacts to approch time.If they came to fix use hours to fix it.Next day same situation.,-0.5667,Negative
16/10/2020,1.32E+18,Possible that gormint has blocked internet services. PTCl not working on my phone and ufone is ultra slow. ,AABangashh,Possible that gormint has blocked internet services. PTCl not working on my phone and ufone is ultra slow. ,-0.2732,Negative
15/11/2020,1.33E+18,__  Abbottabad mey dono he nai chal rhy na PTCL na he 4G!,550mohsin,__  Abbottabad mey dono he nai chal rhy na PTCL na he 4G!,0,Neutral
24/11/2020,1.33E+18, PTCL zaleel lmao,__eternally7, PTCL zaleel lmao,-0.5994,Negative
25/11/2020,1.33E+18, Ptcl lagwao best hai,07Riyan1, Ptcl lagwao best hai,0.6369,Positive
26/11/2020,1.33E+18,This internet sucks a lot in Kashmir. Cant even attend an online class properly.#PTCL,_salehaha,This internet sucks a lot in Kashmir. Cant even attend an online class properly.#PTCL,-0.3612,Negative
01/12/2020,1.33E+18,_ Thik e yr200 GB Sim pe chlao to lag pta jae PTCL is so good ,__GeminiMan,Thik e yr200 GB Sim pe chlao to lag pta jae PTCL is so good ,0.3272,Satisfied 
03/12/2020,1.33E+18,"Since past 7-8 months were requesting for a broadbands service from PTCL. Separately paying 4 EVO &a+D587mp; PTCL In fact its double payment every month for a internet service. Unfortunately the most pathetic experience ongoing, online classes r badly effected",aamirchmd,"Since past 7-8 months were requesting for a broadbands service from PTCL. Separately paying 4 EVO &a+D587mp; PTCL In fact its double payment every month for a internet service. Unfortunately the most pathetic experience ongoing, online classes r badly effected",-0.8588,Negative
04/12/2020,1.33E+18," Please take note, Ptcl has turned the whole of Hayatabad into ruins.. ,",_saadkhan1," Please take note, Ptcl has turned the whole of Hayatabad into ruins.. ,",-0.1531,Negative
04/12/2020,1.33E+18,_never_seen  _khann _says_ _mithi _Yaar  Pehle e ptcl 3 din se slow hua hua ha aur baddua na de,_softheart_,_never_seen  _khann _says_ _mithi _Yaar  Pehle e ptcl 3 din se slow hua hua ha aur baddua na de,0.34,Positive
05/12/2020,1.34E+18," Yes Sir! We face so many issue regarding online classes, even in rural areas  PTCL is not working Sim card regional authority (Tower Operating Offices) play the worst role in it, as they donot operate 3G,4G constantly. Country side students are really in troubles.",_akay007," Yes Sir! We face so many issue regarding online classes, even in rural areas  PTCL is not working Sim card regional authority (Tower Operating Offices) play the worst role in it, as they donot operate 3G,4G constantly. Country side students are really in troubles.",-0.5057,Negative